CODE,NAME,REGION,BOUNDARYCHANGE,TYPE,SEATS,CON,LAB,LD,UKIP,GRN,OTH,TOTAL,Vacant_seats_23,Control_23
E07000211,Reigate and Banstead,South East,N,District,THIRD,23,1,3,0,11,7,45,0,CON
E07000124,Ribble Valley,North West,N,District,ALL,18,7,8,0,2,5,40,0,NOC
E08000005,Rochdale,North West,N,Met,THIRD,9,46,3,0,0,2,60,0,LAB
E07000075,Rochford,East of England,N,District,THIRD,14,0,8,0,1,16,39,0,NOC
E07000125,Rossendale,North West,N,District,THIRD,9,22,0,0,1,4,36,0,LAB
E07000064,Rother,South East,N,District,ALL,10,8,7,0,3,10,38,0,NOC
E07000220,Rugby,West Midlands,N,District,THIRD,21,12,9,0,0,0,42,0,NOC
E07000212,Runnymede,South East,N,District,THIRD,20,4,4,0,2,11,41,0,NOC
E07000176,Rushcliffe,East Midlands,Y,District,ALL,25,9,1,0,2,7,44,0,CON
E07000092,Rushmoor,South East,N,District,THIRD,23,14,2,0,0,0,39,0,CON
E06000017,Rutland,East Midlands,N,Unitary,ALL,6,2,11,0,1,7,27,0,NOC
E08000006,Salford,North West,N,Met,THIRD,8,49,2,0,0,1,60,0,LAB
E08000028,Sandwell,West Midlands,N,Met,THIRD,12,60,0,0,0,0,72,0,LAB
E08000014,Sefton,North West,N,Met,THIRD,5,51,8,0,0,2,66,0,LAB
E07000111,Sevenoaks,South East,N,District,ALL,33,0,14,0,4,3,54,0,CON
E08000019,Sheffield,Yorkshire and The Humber,N,Met,THIRD,1,39,29,0,14,1,84,0,NOC
E06000039,Slough,South East,Y,Unitary,ALL,21,18,3,0,0,0,42,0,NOC
E08000029,Solihull,West Midlands,N,Met,THIRD,29,0,6,0,13,3,51,0,CON
E07000039,South Derbyshire,East Midlands,N,District,ALL,9,23,0,0,0,1,36,3,LAB
E06000025,South Gloucestershire,South West,N,Unitary,ALL,23,17,20,0,0,1,61,0,NOC
E07000044,South Hams,South West,N,District,ALL,7,1,19,0,3,1,31,0,LD
E07000140,South Holland,East Midlands,N,District,ALL,19,0,0,0,0,18,37,0,CON
E07000141,South Kesteven,East Midlands,N,District,ALL,24,2,4,0,4,22,56,0,NOC
E07000149,South Norfolk,East of England,N,District,ALL,24,9,11,0,0,2,46,0,CON
E07000179,South Oxfordshire,South East,N,District,ALL,1,3,21,0,8,3,36,0,LD
E07000126,South Ribble,North West,N,District,ALL,16,29,5,0,0,0,50,0,LAB
E07000196,South Staffordshire,West Midlands,Y,District,ALL,29,2,4,0,2,5,42,0,CON
E08000023,South Tyneside,North East,N,Met,THIRD,1,38,0,0,9,6,54,0,LAB
E06000045,Southampton,South East,Y,Unitary,ALL,9,35,3,0,1,0,51,3,LAB
E06000033,Southend-on-Sea,East of England,N,Unitary,THIRD,22,17,4,0,1,7,51,0,NOC
E07000213,Spelthorne,South East,N,District,ALL,12,7,10,0,3,7,39,0,NOC
E07000240,St Albans,East of England,N,District,THIRD,4,0,48,0,2,1,56,1,LD
E07000197,Stafford,West Midlands,N,District,ALL,14,13,1,0,5,7,40,0,NOC
E07000198,Staffordshire Moorlands,West Midlands,N,District,ALL,22,24,1,0,1,8,56,0,NOC
E07000243,Stevenage,East of England,N,District,THIRD,9,24,6,0,0,0,39,0,LAB
E08000007,Stockport,North West,Y,Met,THIRD,0,24,30,0,3,6,63,0,NOC
E06000004,Stockton-on-Tees,North East,Y,Unitary,ALL,23,22,0,0,0,8,56,3,NOC
E06000021,Stoke-on-Trent,West Midlands,Y,Unitary,ALL,14,29,0,0,0,1,44,0,LAB
E07000221,Stratford-upon-Avon,West Midlands,Y,District,ALL,12,0,25,0,3,1,41,0,LD
E08000024,Sunderland,North East,N,Met,THIRD,13,45,15,0,0,1,75,1,LAB
E07000214,Surrey Heath,South East,N,District,ALL,6,2,21,0,0,3,35,3,LD
E07000113,Swale,South East,N,District,ALL,12,15,5,0,3,12,47,0,NOC
E06000030,Swindon,South West,N,Unitary,THIRD,22,33,1,0,0,1,57,0,LAB
E08000008,Tameside,North West,Y,Met,THIRD,6,51,0,0,0,0,57,0,LAB
E07000199,Tamworth,West Midlands,N,District,THIRD,14,10,0,0,0,6,30,0,NOC
E07000215,Tandridge,South East,N,District,THIRD,9,0,11,0,0,22,42,0,NOC
E07000045,Teignbridge,South West,N,District,ALL,9,0,26,0,0,12,47,0,LD
E06000020,Telford and The Wrekin,West Midlands,Y,Unitary,ALL,8,38,6,0,0,2,54,0,LAB
E07000076,Tendring,East of England,N,District,ALL,19,8,4,0,0,17,48,0,NOC
E07000093,Test Valley,South East,N,District,ALL,26,0,17,0,0,0,43,0,CON
E07000083,Tewkesbury,South West,N,District,ALL,9,0,16,0,4,9,38,0,NOC
E07000114,Thanet,South East,N,District,ALL,17,30,0,0,5,4,56,0,LAB
E07000102,Three Rivers,East of England,N,District,THIRD,11,3,22,0,2,1,39,0,LD
E06000034,Thurrock,East of England,N,Unitary,THIRD,26,19,0,0,0,4,49,0,CON
E07000115,Tonbridge and Malling,South East,Y,District,ALL,20,3,11,0,8,2,44,0,NOC
E06000027,Torbay,South West,N,Unitary,ALL,19,0,15,0,0,2,36,0,CON
E07000046,Torridge,South West,N,District,ALL,6,2,8,0,4,16,36,0,NOC
E08000009,Trafford,North West,Y,Met,THIRD,10,41,6,0,6,0,63,0,LAB
E07000116,Tunbridge Wells,South East,N,District,THIRD,11,8,17,0,0,12,48,0,NOC
E07000077,Uttlesford,East of England,N,District,ALL,11,0,4,0,0,24,39,0,OTH
E07000180,Vale of White Horse,South East,N,District,ALL,0,0,34,0,4,0,38,0,LD
E08000036,Wakefield,Yorkshire and The Humber,N,Met,THIRD,7,49,3,0,0,4,63,0,LAB
E08000030,Walsall,West Midlands,N,Met,THIRD,37,21,0,0,0,2,60,0,CON
E07000222,Warwick,West Midlands,N,District,ALL,6,11,10,0,14,3,44,0,NOC
E07000103,Watford,East of England,N,District,THIRD,0,9,27,0,0,0,36,0,LD
E07000216,Waverley,South East,Y,District,ALL,10,2,22,0,1,15,50,0,NOC
E07000065,Wealden,South East,N,District,ALL,9,2,13,0,11,10,45,0,NOC
E07000241,Welwyn Hatfield,East of England,N,District,THIRD,22,12,14,0,0,0,48,0,NOC
E06000037,West Berkshire,South East,N,Unitary,ALL,11,1,29,0,2,0,43,0,LD
E07000047,West Devon,South West,N,District,ALL,11,1,2,0,5,10,31,2,NOC
E07000127,West Lancashire,North West,Y,District,THIRD,15,26,0,0,0,1,45,3,LAB
E07000142,West Lindsey,East Midlands,N,District,ALL,14,0,18,0,0,4,36,0,NOC
E07000181,West Oxfordshire,South East,N,District,THIRD,17,10,18,0,3,1,49,0,NOC
E07000245,West Suffolk,East of England,N,District,ALL,26,17,1,0,1,19,64,0,NOC
E08000010,Wigan,North West,Y,Met,THIRD,2,64,0,0,0,9,75,0,LAB
E07000094,Winchester,South East,N,District,THIRD,12,0,30,0,2,1,45,0,LD
E06000040,Windsor and Maidenhead,South East,N,Unitary,ALL,7,0,22,0,0,12,41,0,LD
E08000015,Wirral,North West,N,Met,THIRD,17,30,6,0,13,0,66,0,NOC
E07000217,Woking,South East,N,District,THIRD,4,3,20,0,0,3,30,0,LD
E06000041,Wokingham,South East,N,Unitary,THIRD,22,5,26,0,0,1,54,0,NOC
E08000031,Wolverhampton,West Midlands,Y,Met,THIRD,13,47,0,0,0,0,60,0,LAB
E07000237,Worcester,West Midlands,N,District,THIRD,8,13,4,0,10,0,35,0,NOC
E07000229,Worthing,South East,N,District,THIRD,11,24,1,0,1,0,37,0,LAB
E07000238,Wychavon,West Midlands,Y,District,ALL,29,1,7,0,6,0,43,0,CON
E07000128,Wyre,North West,N,District,ALL,30,15,0,0,0,3,50,2,CON
E07000239,Wyre Forest,West Midlands,N,District,ALL,20,4,2,0,1,6,33,0,CON
E06000014,York,Yorkshire and The Humber,N,Unitary,ALL,3,24,19,0,0,1,47,0,LAB
